,leftdrop,rightdrop,starting_time,ending_time,rightslope,leftslope,peak_duration
0,0.544,0.7639999999999998,2000-01-01 02:40:00.000000,2000-01-01 21:30:00.000001,0.0007672778561354021,0.0012952380952380954,0
1,0.8220000000000001,0.532,2000-01-02 09:20:00.000000,2000-01-03 09:50:00.000000,0.0027400000000000002,0.0007025641025641026,0
2,0.17200000000000015,0.19200000000000017,2000-01-03 09:50:00.000000,2000-01-04 08:20:00.000000,0.00014098360655737718,0.0013333333333333346,0
3,0.32799999999999985,0.3370000000000002,2000-01-05 10:40:00.000001,2000-01-06 09:59:59.999999,0.0006573146292585167,0.00036444444444444426,0
4,0.03000000000000025,0.04899999999999993,2000-01-06 09:59:59.999999,2000-01-07 18:00:00.000000,4.054054054054088e-05,2.5423728813559532e-05,0
5,0.375,0.4450000000000003,2000-01-08 09:50:00.000000,2000-01-08 19:19:59.999999,0.0012096774193548388,0.0014478764478764478,0
6,0.08400000000000052,0.4200000000000004,2000-01-09 19:50:00.000000,2000-01-10 14:49:59.999999,7.706422018348671e-05,0.0017142857142857248,0
7,0.42300000000000004,0.3689999999999998,2000-01-10 14:49:59.999999,2000-01-11 00:00:00.000000,0.0035250000000000004,0.0009837209302325583,0
8,0.043999999999999595,0.009000000000000341,2000-01-11 00:00:00.000000,2000-01-11 14:20:00.000000,7.457627118643999e-05,0.00016296296296296146,0
9,0.41500000000000004,0.6910000000000003,2000-01-12 13:30:00.000000,2000-01-12 22:40:00.000001,0.0027852348993288594,0.0010375,0
10,0.3929999999999998,0.9569999999999999,2000-01-13 12:20:00.000000,2000-01-13 23:00:00.000001,0.0023117647058823517,0.000836170212765957,0
11,0.34299999999999997,1.138,2000-01-14 12:10:00.000001,2000-01-14 22:30:00.000000,0.0019055555555555553,0.0007813211845102505,0
12,0.5669999999999997,0.6166666666666663,2000-01-15 16:19:59.999999,2000-01-17 08:29:59.999999,0.00029999999999999987,0.0010903846153846148,0
13,0.9860000000000002,0.4950000000000001,2000-01-17 08:29:59.999999,2000-01-18 11:49:59.999999,0.0009762376237623764,0.0015650793650793654,0
14,0.1589999999999998,1.157,2000-01-18 11:49:59.999999,2000-01-19 09:20:00.000000,0.00018488372093023234,0.0003697674418604647,0
15,0.2689999999999997,0.1809999999999996,2000-01-19 09:20:00.000000,2000-01-20 00:00:00.000000,0.0004490818030050078,0.0009607142857142846,0
16,0.375,0.512,2000-01-20 10:30:00.000000,2000-01-21 01:30:00.000000,0.0011029411764705882,0.0006696428571428571,0
17,0.347,0.7269999999999999,2000-01-21 12:10:00.000001,2000-01-22 01:40:00.000001,0.001122977346278317,0.000694,0
18,0.28600000000000003,0.19100000000000028,2000-01-23 20:20:00.000000,2000-01-24 12:40:00.000000,0.00032873563218390806,0.0026000000000000003,0
19,0.43800000000000017,0.15300000000000002,2000-01-24 12:40:00.000000,2000-01-25 01:10:00.000000,0.0008423076923076927,0.0019043478260869573,0
20,0.7669999999999999,0.5550000000000002,2000-01-26 11:10:00.000000,2000-01-27 11:29:59.999999,0.0011464872944693572,0.0009708860759493669,0
21,0.2400000000000002,0.948,2000-01-27 11:29:59.999999,2000-01-28 00:00:00.000000,0.0006000000000000005,0.0006876790830945565,0
22,0.06800000000000006,0.6379999999999999,2000-01-28 09:30:00.000001,2000-01-29 09:59:59.999999,6.482364156339376e-05,0.00016229116945107414,0
23,0.13900000000000023,0.7290000000000005,2000-01-30 03:10:00.000001,2000-01-31 06:20:00.000000,0.00013913913913913938,0.00022063492063492102,0
24,0.3929999999999998,0.5209999999999999,2000-01-31 06:20:00.000000,2000-02-01 10:10:00.000000,0.0005383561643835614,0.00041853035143769944,0
25,0.03000000000000025,0.1654054054054055,2000-02-02 00:10:00.000001,2000-02-02 09:00:00.000000,8.333333333333402e-05,0.00017751479289940977,0
26,1.2400000000000002,1.1530000000000005,2000-02-02 09:00:00.000000,2000-02-04 09:10:00.000001,0.0007126436781609197,0.0010782608695652175,0
27,0.605,0.3719999999999999,2000-02-04 09:10:00.000001,2000-02-05 00:00:00.000000,0.003361111111111111,0.0008533145275035261,0
28,0.6420000000000003,1.0030000000000006,2000-02-05 00:00:00.000000,2000-02-05 20:00:00.000001,0.0007133333333333337,0.0021400000000000013,0
29,0.6909999999999998,1.29,2000-02-05 20:00:00.000001,2000-02-06 21:59:59.999999,0.0005905982905982905,0.0017763496143958864,0
30,0.4790000000000001,0.13900000000000023,2000-02-07 11:10:00.000000,2000-02-08 00:00:00.000000,0.0014968750000000004,0.0010644444444444447,0
31,0.3680000000000003,0.2569999999999997,2000-02-08 00:00:00.000000,2000-02-09 01:50:00.000000,0.00037589376915219644,0.0006456140350877199,0
32,1.1039999999999992,0.5449999999999999,2000-02-09 02:00:00.000001,2000-02-10 08:29:59.999999,0.0017835218093699503,0.0009131513647642674,0
33,0.36599999999999966,0.5979999999999999,2000-02-10 21:20:00.000000,2000-02-11 16:40:00.000001,0.0004112359550561794,0.0013555555555555543,0
34,0.46500000000000075,0.5430000000000001,2000-02-12 09:10:00.000001,2000-02-12 23:49:59.999999,0.0014133738601823731,0.0008469945355191271,0
35,0.30900000000000016,0.5289999999999999,2000-02-13 08:29:59.999999,2000-02-14 08:49:59.999999,0.00025750000000000013,0.0011930501930501936,0
36,0.8309999999999995,0.7699999999999996,2000-02-14 08:49:59.999999,2000-02-15 05:10:00.000000,0.0021307692307692295,0.0010012048192771079,0
37,0.21899999999999942,0.21899999999999942,2000-02-15 05:10:00.000000,2000-02-16 00:00:00.000000,0.0003782383419689109,0.0003981818181818171,0
