,leftdrop,rightdrop,starting_time,ending_time,rightslope,leftslope,peak_duration
0,1.7159999999999993,1.4079999999999995,2001-06-05 23:40:00.000000,2001-06-07 07:10:00.000000,0.05719999999999998,0.0009230769230769227,0
1,0.9649999999999999,1.8849999999999998,2001-06-07 07:10:00.000000,2001-06-08 12:20:00.000000,0.0013610719322990125,0.0009278846153846152,0
2,1.1760000000000002,0.7330000000000005,2001-06-11 09:50:00.000000,2001-06-12 08:10:00.000000,0.0017845220030349015,0.0017294117647058825,0
3,1.1639999999999997,2.635,2001-06-12 08:10:00.000000,2001-06-13 08:20:00.000000,0.0014549999999999997,0.0017935285053929117,0
4,0.8659999999999997,1.0950000000000006,2001-06-13 08:20:00.000000,2001-06-14 07:50:00.000000,0.0011102564102564098,0.001374603174603174,0
5,1.225999999999999,2.0959999999999983,2001-06-14 07:50:00.000000,2001-06-15 08:20:00.000000,0.0018861538461538447,0.001495121951219511,0
6,2.734,2.0950000000000006,2001-06-15 08:20:00.000000,2001-06-17 08:20:00.000000,0.003650200267022697,0.0012835680751173708,0
7,1.3789999999999996,0.8059999999999992,2001-06-17 08:20:00.000000,2001-06-18 09:50:00.000000,0.0023372881355932197,0.0014685835995740144,0
8,1.0060000000000002,1.1870000000000012,2001-06-19 09:30:00.000001,2001-06-20 08:00:00.000001,0.0015500770416024656,0.0014371428571428575,0
9,1.3550000000000004,2.475999999999999,2001-06-20 08:00:00.000001,2001-06-21 08:20:00.000000,0.001739409499358152,0.00199264705882353,0
10,1.2249999999999996,2.665000000000001,2001-06-21 08:20:00.000000,2001-06-22 09:00:00.000000,0.0015506329113924046,0.001777939042089985,0
11,1.1160000000000014,1.5860000000000003,2001-06-22 09:00:00.000000,2001-06-23 08:49:59.999999,0.0013967459324155211,0.0017714285714285738,0
12,1.693999999999999,2.115,2001-06-23 08:49:59.999999,2001-06-24 08:40:00.000000,0.002606153846153845,0.0021745827984595623,0
13,1.7260000000000009,2.474,2001-06-24 08:40:00.000000,2001-06-25 08:29:59.999999,0.0026151515151515165,0.002244473342002602,0
14,1.7729999999999997,2.455,2001-06-25 08:29:59.999999,2001-06-26 09:00:00.000000,0.0025328571428571423,0.002302597402597402,0
15,1.4649999999999999,2.603999999999999,2001-06-26 09:00:00.000000,2001-06-27 08:40:00.000000,0.0021262699564586355,0.0020068493150684928,0
16,2.4369999999999994,0.9149999999999991,2001-06-27 08:40:00.000000,2001-06-28 14:49:59.999999,0.005309368191721131,0.0018051851851851846,0
17,1.1560000000000006,2.389000000000001,2001-06-29 08:20:00.000000,2001-06-30 08:29:59.999999,0.001543391188251002,0.0016514285714285724,0
18,1.2649999999999988,1.9139999999999997,2001-06-30 08:29:59.999999,2001-07-01 09:50:00.000000,0.0019166666666666648,0.0014709302325581382,0
19,1.3449999999999989,1.0959999999999983,2001-07-01 09:50:00.000000,2001-07-02 08:40:00.000000,0.0019779411764705864,0.001952104499274309,0
20,1.8540000000000028,2.4140000000000015,2001-07-02 08:40:00.000000,2001-07-03 09:00:00.000000,0.0026485714285714324,0.00243947368421053,0
21,4.635999999999999,4.901,2001-07-03 09:00:00.000000,2001-07-04 07:50:00.000000,0.008585185185185184,0.005585542168674698,0
22,4.278000000000002,4.420000000000002,2001-07-04 07:50:00.000000,2001-07-05 06:40:00.000000,0.007388601036269434,0.005415189873417724,0
23,3.3530000000000015,4.068000000000001,2001-07-05 07:30:00.000000,2001-07-06 06:50:00.000000,0.004593150684931509,0.005011958146487297,0
24,8.249000000000002,4.950000000000003,2001-07-06 06:50:00.000000,2001-07-08 06:59:59.999999,0.01251745068285281,0.003699103139013454,0
25,3.224999999999998,3.0109999999999992,2001-07-08 06:59:59.999999,2001-07-09 06:59:59.999999,0.00686170212765957,0.003324742268041235,0
26,2.2819999999999983,3.2049999999999983,2001-07-09 06:59:59.999999,2001-07-10 07:30:00.000000,0.003169444444444442,0.0030426666666666644,0
27,3.4030000000000005,4.76,2001-07-10 07:30:00.000000,2001-07-11 15:59:59.999999,0.005497576736672052,0.002558646616541354,0
28,3.6789999999999985,5.142999999999999,2001-07-12 08:10:00.000000,2001-07-13 11:20:00.000000,0.006941509433962261,0.0033475887170154673,0
29,0.4079999999999977,0.48999999999999844,2001-07-13 11:20:00.000000,2001-07-13 16:30:00.000000,0.003709090909090888,0.0020399999999999884,0
30,0.4499999999999993,2.8770000000000007,2001-07-14 06:59:59.999999,2001-07-14 22:40:00.000001,0.0006521739130434772,0.0017999999999999971,0
31,2.6419999999999995,0.3769999999999989,2001-07-14 22:40:00.000001,2001-07-15 08:49:59.999999,0.09110344827586205,0.0045630397236614845,0
32,0.9730000000000008,1.0350000000000001,2001-07-16 09:40:00.000000,2001-07-17 06:00:00.000000,0.001989775051124746,0.0013328767123287682,0
33,2.5809999999999995,3.9000000000000004,2001-07-17 06:00:00.000000,2001-07-18 09:50:00.000000,0.00391060606060606,0.0025579781962338944,0
34,2.3779999999999983,0.9919999999999991,2001-07-18 15:20:00.000000,2001-07-19 06:50:00.000000,0.010858447488584467,0.003349295774647885,0
35,2.668000000000001,3.218,2001-07-19 06:50:00.000000,2001-07-20 10:30:00.000000,0.003705555555555557,0.0028382978723404265,0
36,3.1090000000000018,4.606000000000002,2001-07-21 06:40:00.000000,2001-07-22 06:50:00.000000,0.004857812500000003,0.003838271604938274,0
37,3.539999999999999,5.129999999999999,2001-07-22 06:50:00.000000,2001-07-23 07:10:00.000000,0.005619047619047617,0.004265060240963854,0
